Title,Skills,Description,Location,Experience,Cleaned_Description,Extracted_Skills
Project Manager,"CSS, Automation, NLP, Cybersecurity, Spring","Project Manager role requires expertise in CSS, Automation, NLP, Cybersecurity, Spring.",Noida,6 years,"project manager role requires expertise in css, automation, nlp, cybersecurity, spring.","['css', 'automation', 'nlp', 'cybersecurity', 'spring']"
ML Engineer,"SQL, Django, Spring, NLP, React","ML Engineer role requires expertise in SQL, Django, Spring, NLP, React.",Chennai,9 years,"ml engineer role requires expertise in sql, django, spring, nlp, react.","['sql', 'django', 'spring', 'nlp', 'react']"
Frontend Developer,".NET, Docker, React, AWS","Frontend Developer role requires expertise in .NET, Docker, React, AWS.",Mumbai,11 years,"frontend developer role requires expertise in .net, docker, react, aws.","['.net', 'docker', 'react', 'aws']"
DevOps Engineer,"Cybersecurity, C++, Azure","DevOps Engineer role requires expertise in Cybersecurity, C++, Azure.",Hyderabad,7 years,"devops engineer role requires expertise in cybersecurity, c++, azure.","['cybersecurity', 'c++', 'azure']"
Full Stack Engineer,"Flask, SQL, Testing","Full Stack Engineer role requires expertise in Flask, SQL, Testing.",Chennai,10 years,"full stack engineer role requires expertise in flask, sql, testing.","['flask', 'sql', 'testing']"
Cloud Engineer,"Automation, C++, AWS, JavaScript, Azure, Kubernetes","Cloud Engineer role requires expertise in Automation, C++, AWS, JavaScript, Azure, Kubernetes.",Bangalore,1 years,"cloud engineer role requires expertise in automation, c++, aws, javascript, azure, kubernetes.","['automation', 'c++', 'aws', 'javascript', 'azure', 'kubernetes']"
Data Scientist,"Data Analysis, HTML, Cybersecurity","Data Scientist role requires expertise in Data Analysis, HTML, Cybersecurity.",Bangalore,4 years,"data scientist role requires expertise in data analysis, html, cybersecurity.","['data analysis', 'html', 'cybersecurity']"
DevOps Engineer,"DevOps, Machine Learning, Spring, C++, Django","DevOps Engineer role requires expertise in DevOps, Machine Learning, Spring, C++, Django.",Noida,7 years,"devops engineer role requires expertise in devops, machine learning, spring, c++, django.","['devops', 'machine learning', 'spring', 'c++', 'django']"
System Administrator,"Cybersecurity, NLP, React","System Administrator role requires expertise in Cybersecurity, NLP, React.",Noida,2 years,"system administrator role requires expertise in cybersecurity, nlp, react.","['cybersecurity', 'nlp', 'react']"
UI/UX Designer,"NLP, Django, Automation, CSS, Machine Learning, JavaScript","UI/UX Designer role requires expertise in NLP, Django, Automation, CSS, Machine Learning, JavaScript.",Mumbai,1 years,"ui/ux designer role requires expertise in nlp, django, automation, css, machine learning, javascript.","['nlp', 'django', 'automation', 'css', 'machine learning', 'javascript']"
Full Stack Engineer,"Machine Learning, Django, Docker, Python, Azure, Spring","Full Stack Engineer role requires expertise in Machine Learning, Django, Docker, Python, Azure, Spring.",Mumbai,9 years,"full stack engineer role requires expertise in machine learning, django, docker, python, azure, spring.","['machine learning', 'django', 'docker', 'python', 'azure', 'spring']"
Frontend Developer,"Node.js, Java, Azure, Angular, Automation, AWS","Frontend Developer role requires expertise in Node.js, Java, Azure, Angular, Automation, AWS.",Ahmedabad,4 years,"frontend developer role requires expertise in node.js, java, azure, angular, automation, aws.","['node.js', 'java', 'azure', 'angular', 'automation', 'aws']"
UI/UX Designer,"DevOps, Spring, SQL, Node.js","UI/UX Designer role requires expertise in DevOps, Spring, SQL, Node.js.",Gurgaon,12 years,"ui/ux designer role requires expertise in devops, spring, sql, node.js.","['devops', 'spring', 'sql', 'node.js']"
Cloud Engineer,"Java, Python, Flask","Cloud Engineer role requires expertise in Java, Python, Flask.",Noida,11 years,"cloud engineer role requires expertise in java, python, flask.","['java', 'python', 'flask']"
Cloud Engineer,"Node.js, Angular, DevOps","Cloud Engineer role requires expertise in Node.js, Angular, DevOps.",Noida,5 years,"cloud engineer role requires expertise in node.js, angular, devops.","['node.js', 'angular', 'devops']"
Backend Developer,"DevOps, Python, SQL, Java, Spring","Backend Developer role requires expertise in DevOps, Python, SQL, Java, Spring.",Delhi,10 years,"backend developer role requires expertise in devops, python, sql, java, spring.","['devops', 'python', 'sql', 'java', 'spring']"
Business Analyst,"Testing, Angular, Java, SQL, CSS, JavaScript","Business Analyst role requires expertise in Testing, Angular, Java, SQL, CSS, JavaScript.",Chennai,10 years,"business analyst role requires expertise in testing, angular, java, sql, css, javascript.","['testing', 'angular', 'java', 'sql', 'css', 'javascript']"
ML Engineer,"Azure, Angular, HTML","ML Engineer role requires expertise in Azure, Angular, HTML.",Mumbai,5 years,"ml engineer role requires expertise in azure, angular, html.","['azure', 'angular', 'html']"
Full Stack Engineer,"CSS, Angular, Data Analysis, Django, SQL, Spring","Full Stack Engineer role requires expertise in CSS, Angular, Data Analysis, Django, SQL, Spring.",Mumbai,2 years,"full stack engineer role requires expertise in css, angular, data analysis, django, sql, spring.","['css', 'angular', 'data analysis', 'django', 'sql', 'spring']"
ML Engineer,"Python, Azure, Flask, CSS","ML Engineer role requires expertise in Python, Azure, Flask, CSS.",Kolkata,6 years,"ml engineer role requires expertise in python, azure, flask, css.","['python', 'azure', 'flask', 'css']"
System Administrator,"AWS, Django, CSS, Data Analysis, NLP, Kubernetes","System Administrator role requires expertise in AWS, Django, CSS, Data Analysis, NLP, Kubernetes.",Pune,3 years,"system administrator role requires expertise in aws, django, css, data analysis, nlp, kubernetes.","['aws', 'django', 'css', 'data analysis', 'nlp', 'kubernetes']"
UI/UX Designer,"Cybersecurity, React, Angular, HTML, Machine Learning","UI/UX Designer role requires expertise in Cybersecurity, React, Angular, HTML, Machine Learning.",Chennai,8 years,"ui/ux designer role requires expertise in cybersecurity, react, angular, html, machine learning.","['cybersecurity', 'react', 'angular', 'html', 'machine learning']"
UI/UX Designer,"Automation, Django, Docker","UI/UX Designer role requires expertise in Automation, Django, Docker.",Kolkata,6 years,"ui/ux designer role requires expertise in automation, django, docker.","['automation', 'django', 'docker']"
Data Scientist,"Node.js, DevOps, Flask","Data Scientist role requires expertise in Node.js, DevOps, Flask.",Hyderabad,2 years,"data scientist role requires expertise in node.js, devops, flask.","['node.js', 'devops', 'flask']"
DevOps Engineer,"Docker, Spring, Automation, React","DevOps Engineer role requires expertise in Docker, Spring, Automation, React.",Delhi,2 years,"devops engineer role requires expertise in docker, spring, automation, react.","['docker', 'spring', 'automation', 'react']"
Business Analyst,"Automation, NLP, Machine Learning, Cybersecurity, Azure","Business Analyst role requires expertise in Automation, NLP, Machine Learning, Cybersecurity, Azure.",Mumbai,9 years,"business analyst role requires expertise in automation, nlp, machine learning, cybersecurity, azure.","['automation', 'nlp', 'machine learning', 'cybersecurity', 'azure']"
Data Scientist,"Cloud, Testing, Django, .NET, Python","Data Scientist role requires expertise in Cloud, Testing, Django, .NET, Python.",Pune,9 years,"data scientist role requires expertise in cloud, testing, django, .net, python.","['cloud', 'testing', 'django', '.net', 'python']"
Project Manager,"Node.js, Cloud, Cybersecurity, AWS, NLP","Project Manager role requires expertise in Node.js, Cloud, Cybersecurity, AWS, NLP.",Mumbai,10 years,"project manager role requires expertise in node.js, cloud, cybersecurity, aws, nlp.","['node.js', 'cloud', 'cybersecurity', 'aws', 'nlp']"
UI/UX Designer,"Cybersecurity, Cloud, Angular, AWS","UI/UX Designer role requires expertise in Cybersecurity, Cloud, Angular, AWS.",Delhi,2 years,"ui/ux designer role requires expertise in cybersecurity, cloud, angular, aws.","['cybersecurity', 'cloud', 'angular', 'aws']"
DevOps Engineer,"C++, React, HTML","DevOps Engineer role requires expertise in C++, React, HTML.",Kolkata,6 years,"devops engineer role requires expertise in c++, react, html.","['c++', 'react', 'html']"
UI/UX Designer,"Python, C++, JavaScript, Automation, Java, Django","UI/UX Designer role requires expertise in Python, C++, JavaScript, Automation, Java, Django.",Kolkata,4 years,"ui/ux designer role requires expertise in python, c++, javascript, automation, java, django.","['python', 'c++', 'javascript', 'automation', 'java', 'django']"
System Administrator,"React, Spring, Azure, Data Analysis, DevOps, Docker","System Administrator role requires expertise in React, Spring, Azure, Data Analysis, DevOps, Docker.",Chennai,11 years,"system administrator role requires expertise in react, spring, azure, data analysis, devops, docker.","['react', 'spring', 'azure', 'data analysis', 'devops', 'docker']"
Project Manager,"Java, Azure, Cybersecurity","Project Manager role requires expertise in Java, Azure, Cybersecurity.",Bangalore,4 years,"project manager role requires expertise in java, azure, cybersecurity.","['java', 'azure', 'cybersecurity']"
System Administrator,"Angular, React, C++","System Administrator role requires expertise in Angular, React, C++.",Gurgaon,1 years,"system administrator role requires expertise in angular, react, c++.","['angular', 'react', 'c++']"
Software Tester,"Cloud, Docker, CSS, NLP, AWS, Python","Software Tester role requires expertise in Cloud, Docker, CSS, NLP, AWS, Python.",Gurgaon,8 years,"software tester role requires expertise in cloud, docker, css, nlp, aws, python.","['cloud', 'docker', 'css', 'nlp', 'aws', 'python']"
System Administrator,"Cloud, Python, Node.js, .NET, NLP","System Administrator role requires expertise in Cloud, Python, Node.js, .NET, NLP.",Mumbai,1 years,"system administrator role requires expertise in cloud, python, node.js, .net, nlp.","['cloud', 'python', 'node.js', '.net', 'nlp']"
Data Scientist,"Angular, Python, Azure, CSS, Cybersecurity, Spring","Data Scientist role requires expertise in Angular, Python, Azure, CSS, Cybersecurity, Spring.",Gurgaon,4 years,"data scientist role requires expertise in angular, python, azure, css, cybersecurity, spring.","['angular', 'python', 'azure', 'css', 'cybersecurity', 'spring']"
DevOps Engineer,"Flask, Docker, Python","DevOps Engineer role requires expertise in Flask, Docker, Python.",Delhi,8 years,"devops engineer role requires expertise in flask, docker, python.","['flask', 'docker', 'python']"
Data Scientist,"Flask, Cloud, React, Kubernetes, SQL, Data Analysis","Data Scientist role requires expertise in Flask, Cloud, React, Kubernetes, SQL, Data Analysis.",Gurgaon,5 years,"data scientist role requires expertise in flask, cloud, react, kubernetes, sql, data analysis.","['flask', 'cloud', 'react', 'kubernetes', 'sql', 'data analysis']"
Business Analyst,"Spring, HTML, Automation, Cloud, AWS, Angular","Business Analyst role requires expertise in Spring, HTML, Automation, Cloud, AWS, Angular.",Bangalore,4 years,"business analyst role requires expertise in spring, html, automation, cloud, aws, angular.","['spring', 'html', 'automation', 'cloud', 'aws', 'angular']"
Business Analyst,"Automation, Machine Learning, Testing, Docker, Cybersecurity","Business Analyst role requires expertise in Automation, Machine Learning, Testing, Docker, Cybersecurity.",Delhi,6 years,"business analyst role requires expertise in automation, machine learning, testing, docker, cybersecurity.","['automation', 'machine learning', 'testing', 'docker', 'cybersecurity']"
Full Stack Engineer,"Docker, Cybersecurity, Django, AWS","Full Stack Engineer role requires expertise in Docker, Cybersecurity, Django, AWS.",Bangalore,1 years,"full stack engineer role requires expertise in docker, cybersecurity, django, aws.","['docker', 'cybersecurity', 'django', 'aws']"
Project Manager,"Testing, Machine Learning, C++, React, Azure","Project Manager role requires expertise in Testing, Machine Learning, C++, React, Azure.",Gurgaon,7 years,"project manager role requires expertise in testing, machine learning, c++, react, azure.","['testing', 'machine learning', 'c++', 'react', 'azure']"
